frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,mx1,my1,mx2,my2,license_plate_text
122.0,car,tensor([0.9070]),"tensor([1], dtype=torch.int32)",373,164,472,226,False,0,0,0,0,
122.0,car,tensor([0.8898]),"tensor([2], dtype=torch.int32)",316,163,384,214,False,0,0,0,0,
122.0,car,tensor([0.8826]),"tensor([3], dtype=torch.int32)",468,154,671,256,False,0,0,0,0,
122.0,car,tensor([0.8719]),"tensor([4], dtype=torch.int32)",209,166,308,232,False,0,0,0,0,
122.0,person,tensor([0.8261]),"tensor([5], dtype=torch.int32)",138,145,166,228,False,0,0,0,0,
122.0,license plate,tensor([0.3006]),-1,627,222,662,232,True,627,222,662,232,not detected
122.0,license plate,tensor([0.1801]),-1,439,205,463,212,True,439,205,463,212,co
123.0,car,tensor([0.9175]),"tensor([1], dtype=torch.int32)",315,162,384,213,False,0,0,0,0,
123.0,car,tensor([0.9048]),"tensor([2], dtype=torch.int32)",373,163,473,225,False,0,0,0,0,
123.0,car,tensor([0.8907]),"tensor([3], dtype=torch.int32)",468,153,670,255,False,0,0,0,0,
123.0,car,tensor([0.8795]),"tensor([4], dtype=torch.int32)",211,164,311,232,False,0,0,0,0,
123.0,person,tensor([0.8193]),"tensor([5], dtype=torch.int32)",137,144,166,227,False,0,0,0,0,
123.0,license plate,tensor([0.3655]),-1,626,222,661,230,True,626,222,661,230,not detected
123.0,license plate,tensor([0.1358]),-1,439,204,463,212,True,439,204,463,212,i=
124.0,car,tensor([0.9018]),"tensor([1], dtype=torch.int32)",316,161,384,212,False,0,0,0,0,
124.0,car,tensor([0.8951]),"tensor([2], dtype=torch.int32)",373,162,473,225,False,0,0,0,0,
124.0,car,tensor([0.8892]),"tensor([3], dtype=torch.int32)",468,152,670,254,False,0,0,0,0,
124.0,car,tensor([0.8878]),"tensor([4], dtype=torch.int32)",213,163,316,232,False,0,0,0,0,
124.0,person,tensor([0.8076]),"tensor([5], dtype=torch.int32)",137,143,167,225,False,0,0,0,0,
124.0,license plate,tensor([0.4071]),-1,625,221,660,229,True,625,221,660,229,not detected
124.0,license plate,tensor([0.1246]),-1,439,204,463,212,True,439,204,463,212,not detected
124.0,license plate,tensor([0.1238]),-1,267,205,296,214,True,267,205,296,214,a
124.0,license plate,tensor([0.1082]),-1,270,206,294,212,True,270,206,294,212,ee
125.0,car,tensor([0.8963]),"tensor([1], dtype=torch.int32)",316,160,383,211,False,0,0,0,0,
125.0,car,tensor([0.8849]),"tensor([2], dtype=torch.int32)",215,162,319,232,False,0,0,0,0,
125.0,car,tensor([0.8753]),"tensor([3], dtype=torch.int32)",468,151,670,253,False,0,0,0,0,
125.0,car,tensor([0.8707]),"tensor([4], dtype=torch.int32)",373,160,472,224,False,0,0,0,0,
125.0,person,tensor([0.7777]),"tensor([5], dtype=torch.int32)",136,141,168,224,False,0,0,0,0,
125.0,license plate,tensor([0.7317]),"tensor([1], dtype=torch.int32)",628,219,659,229,True,628,219,659,229,page -
126.0,car,tensor([0.8873]),"tensor([1], dtype=torch.int32)",216,161,323,233,False,0,0,0,0,
126.0,car,tensor([0.8665]),"tensor([2], dtype=torch.int32)",467,149,670,252,False,0,0,0,0,
126.0,car,tensor([0.8631]),"tensor([3], dtype=torch.int32)",374,159,474,223,False,0,0,0,0,
126.0,car,tensor([0.8452]),"tensor([4], dtype=torch.int32)",316,159,384,210,False,0,0,0,0,
126.0,person,tensor([0.7663]),"tensor([5], dtype=torch.int32)",136,139,167,223,False,0,0,0,0,
126.0,license plate,tensor([0.7202]),"tensor([1], dtype=torch.int32)",626,218,660,228,True,626,218,660,228,not detected
127.0,car,tensor([0.8828]),"tensor([1], dtype=torch.int32)",468,148,670,251,False,0,0,0,0,
127.0,car,tensor([0.8713]),"tensor([2], dtype=torch.int32)",219,158,328,233,False,0,0,0,0,
127.0,car,tensor([0.8708]),"tensor([3], dtype=torch.int32)",374,159,474,221,False,0,0,0,0,
127.0,car,tensor([0.8369]),"tensor([4], dtype=torch.int32)",316,159,383,209,False,0,0,0,0,
127.0,person,tensor([0.7573]),"tensor([5], dtype=torch.int32)",135,139,167,223,False,0,0,0,0,
127.0,license plate,tensor([0.7469]),"tensor([1], dtype=torch.int32)",626,216,662,227,True,626,216,662,227,not detected
127.0,license plate,tensor([0.6771]),"tensor([2], dtype=torch.int32)",438,200,464,206,True,438,200,464,206,Datend
128.0,car,tensor([0.8817]),"tensor([1], dtype=torch.int32)",468,147,670,249,False,0,0,0,0,
128.0,car,tensor([0.8737]),"tensor([2], dtype=torch.int32)",220,155,332,233,False,0,0,0,0,
128.0,car,tensor([0.8702]),"tensor([3], dtype=torch.int32)",374,158,473,221,False,0,0,0,0,
128.0,car,tensor([0.8149]),"tensor([4], dtype=torch.int32)",315,158,383,207,False,0,0,0,0,
128.0,person,tensor([0.7642]),"tensor([5], dtype=torch.int32)",135,139,168,222,False,0,0,0,0,
128.0,license plate,tensor([0.7650]),"tensor([1], dtype=torch.int32)",626,215,661,225,True,626,215,661,225,not detected
129.0,car,tensor([0.8840]),"tensor([1], dtype=torch.int32)",468,146,670,248,False,0,0,0,0,
129.0,car,tensor([0.8813]),"tensor([2], dtype=torch.int32)",222,154,337,234,False,0,0,0,0,
129.0,car,tensor([0.8724]),"tensor([3], dtype=torch.int32)",374,157,472,220,False,0,0,0,0,
129.0,car,tensor([0.8221]),"tensor([4], dtype=torch.int32)",316,157,383,206,False,0,0,0,0,
129.0,person,tensor([0.7808]),"tensor([5], dtype=torch.int32)",135,138,168,221,False,0,0,0,0,
129.0,license plate,tensor([0.3519]),-1,625,215,660,225,True,625,215,660,225,not detected
129.0,license plate,tensor([0.3093]),-1,283,205,315,214,True,283,205,315,214,not detected
129.0,license plate,tensor([0.2242]),-1,439,198,461,203,True,439,198,461,203,not detected
129.0,license plate,tensor([0.1047]),-1,625,212,658,224,True,625,212,658,224,a
130.0,car,tensor([0.8892]),"tensor([1], dtype=torch.int32)",468,145,669,247,False,0,0,0,0,
130.0,car,tensor([0.8823]),"tensor([2], dtype=torch.int32)",225,155,341,235,False,0,0,0,0,
130.0,car,tensor([0.8738]),"tensor([3], dtype=torch.int32)",374,156,472,219,False,0,0,0,0,
130.0,car,tensor([0.7879]),"tensor([4], dtype=torch.int32)",317,156,384,205,False,0,0,0,0,
130.0,person,tensor([0.7649]),"tensor([5], dtype=torch.int32)",135,138,168,221,False,0,0,0,0,
130.0,license plate,tensor([0.4864]),-1,438,196,462,203,True,438,196,462,203,ie :
130.0,license plate,tensor([0.3353]),-1,290,205,320,214,True,290,205,320,214,eee
130.0,license plate,tensor([0.1435]),-1,625,213,663,225,True,625,213,663,225,a
130.0,license plate,tensor([0.1347]),-1,290,205,315,212,True,290,205,315,212,ae
131.0,car,tensor([0.8879]),"tensor([1], dtype=torch.int32)",227,155,346,236,False,0,0,0,0,
131.0,car,tensor([0.8854]),"tensor([2], dtype=torch.int32)",468,144,669,246,False,0,0,0,0,
131.0,car,tensor([0.8678]),"tensor([3], dtype=torch.int32)",373,155,472,218,False,0,0,0,0,
131.0,car,tensor([0.7805]),"tensor([4], dtype=torch.int32)",318,155,382,202,False,0,0,0,0,
131.0,person,tensor([0.7477]),"tensor([5], dtype=torch.int32)",134,138,168,219,False,0,0,0,0,
131.0,license plate,tensor([0.4770]),-1,439,195,463,203,True,439,195,463,203,not detected
131.0,license plate,tensor([0.2874]),-1,623,210,661,222,True,623,210,661,222,not detected
132.0,car,tensor([0.8922]),"tensor([1], dtype=torch.int32)",228,155,351,236,False,0,0,0,0,
132.0,car,tensor([0.8856]),"tensor([2], dtype=torch.int32)",467,143,670,245,False,0,0,0,0,
132.0,car,tensor([0.8781]),"tensor([3], dtype=torch.int32)",372,155,471,217,False,0,0,0,0,
132.0,car,tensor([0.7713]),"tensor([4], dtype=torch.int32)",319,155,383,200,False,0,0,0,0,
132.0,person,tensor([0.7255]),"tensor([5], dtype=torch.int32)",134,138,168,219,False,0,0,0,0,
132.0,license plate,tensor([0.4394]),-1,299,205,332,214,True,299,205,332,214,fg
132.0,license plate,tensor([0.2893]),-1,438,195,463,203,True,438,195,463,203,7.
132.0,license plate,tensor([0.2611]),-1,622,210,659,221,True,622,210,659,221,i
133.0,car,tensor([0.8992]),"tensor([1], dtype=torch.int32)",230,153,356,237,False,0,0,0,0,
133.0,car,tensor([0.8820]),"tensor([2], dtype=torch.int32)",468,143,669,244,False,0,0,0,0,
133.0,car,tensor([0.8646]),"tensor([3], dtype=torch.int32)",372,153,471,216,False,0,0,0,0,
133.0,car,tensor([0.7426]),"tensor([4], dtype=torch.int32)",319,153,383,201,False,0,0,0,0,
133.0,person,tensor([0.6964]),"tensor([5], dtype=torch.int32)",133,137,167,217,False,0,0,0,0,
133.0,license plate,tensor([0.3313]),-1,301,206,334,215,True,301,206,334,215,not detected
133.0,license plate,tensor([0.2154]),-1,623,209,659,220,True,623,209,659,220,not detected
134.0,car,tensor([0.9035]),"tensor([1], dtype=torch.int32)",232,153,362,238,False,0,0,0,0,
134.0,car,tensor([0.8796]),"tensor([2], dtype=torch.int32)",468,141,669,243,False,0,0,0,0,
134.0,car,tensor([0.8572]),"tensor([3], dtype=torch.int32)",372,152,471,216,False,0,0,0,0,
134.0,person,tensor([0.7182]),"tensor([4], dtype=torch.int32)",133,136,166,217,False,0,0,0,0,
134.0,car,tensor([0.6864]),"tensor([5], dtype=torch.int32)",321,152,383,197,False,0,0,0,0,
134.0,license plate,tensor([0.4190]),-1,305,206,336,216,True,305,206,336,216,Zz
134.0,license plate,tensor([0.1235]),-1,624,210,661,220,True,624,210,661,220,P<.
135.0,car,tensor([0.8913]),"tensor([1], dtype=torch.int32)",235,153,367,239,False,0,0,0,0,
135.0,car,tensor([0.8840]),"tensor([2], dtype=torch.int32)",467,141,668,243,False,0,0,0,0,
135.0,car,tensor([0.8136]),"tensor([3], dtype=torch.int32)",371,152,470,215,False,0,0,0,0,
135.0,person,tensor([0.6915]),"tensor([4], dtype=torch.int32)",133,137,163,217,False,0,0,0,0,
135.0,license plate,tensor([0.2369]),-1,623,209,656,219,True,623,209,656,219,not detected
135.0,license plate,tensor([0.2111]),-1,313,207,343,216,True,313,207,343,216,—=o-)
135.0,license plate,tensor([0.1261]),-1,435,189,458,197,True,435,189,458,197,a ee
136.0,car,tensor([0.8893]),"tensor([1], dtype=torch.int32)",467,140,668,242,False,0,0,0,0,
136.0,car,tensor([0.8812]),"tensor([2], dtype=torch.int32)",237,154,375,240,False,0,0,0,0,
136.0,car,tensor([0.8218]),"tensor([3], dtype=torch.int32)",373,152,469,214,False,0,0,0,0,
136.0,person,tensor([0.6707]),"tensor([4], dtype=torch.int32)",132,139,162,216,False,0,0,0,0,
136.0,car,tensor([0.6036]),"tensor([5], dtype=torch.int32)",235,147,273,179,False,0,0,0,0,
136.0,license plate,tensor([0.3903]),-1,624,209,657,218,True,624,209,657,218,not detected
136.0,license plate,tensor([0.2455]),-1,318,207,352,217,True,318,207,352,217,a
136.0,license plate,tensor([0.2128]),-1,435,189,459,197,True,435,189,459,197,s-
137.0,car,tensor([0.8893]),"tensor([1], dtype=torch.int32)",467,140,668,242,False,0,0,0,0,
137.0,car,tensor([0.8888]),"tensor([2], dtype=torch.int32)",242,153,380,242,False,0,0,0,0,
137.0,car,tensor([0.8148]),"tensor([3], dtype=torch.int32)",372,152,469,213,False,0,0,0,0,
137.0,license plate,tensor([0.4772]),-1,627,209,660,218,True,627,209,660,218,not detected
137.0,license plate,tensor([0.3358]),-1,324,207,358,218,True,324,207,358,218,a
137.0,license plate,tensor([0.2421]),-1,435,189,459,197,True,435,189,459,197,=e
138.0,car,tensor([0.8930]),"tensor([1], dtype=torch.int32)",245,152,387,246,False,0,0,0,0,
138.0,car,tensor([0.8872]),"tensor([2], dtype=torch.int32)",467,140,668,242,False,0,0,0,0,
138.0,car,tensor([0.7896]),"tensor([3], dtype=torch.int32)",366,152,469,213,False,0,0,0,0,
138.0,car,tensor([0.7110]),"tensor([4], dtype=torch.int32)",235,146,272,180,False,0,0,0,0,
138.0,person,tensor([0.6083]),"tensor([5], dtype=torch.int32)",132,139,161,214,False,0,0,0,0,
138.0,license plate,tensor([0.5482]),-1,330,209,363,218,True,330,209,363,218,not detected
138.0,license plate,tensor([0.4676]),-1,627,209,660,218,True,627,209,660,218,not detected
138.0,license plate,tensor([0.2679]),-1,435,189,459,196,True,435,189,459,196,i
139.0,car,tensor([0.9016]),"tensor([1], dtype=torch.int32)",248,153,393,247,False,0,0,0,0,
139.0,car,tensor([0.8870]),"tensor([2], dtype=torch.int32)",467,139,668,242,False,0,0,0,0,
139.0,car,tensor([0.7894]),"tensor([3], dtype=torch.int32)",368,151,470,213,False,0,0,0,0,
139.0,car,tensor([0.7146]),"tensor([4], dtype=torch.int32)",235,146,273,179,False,0,0,0,0,
139.0,person,tensor([0.6040]),"tensor([5], dtype=torch.int32)",132,140,160,213,False,0,0,0,0,
139.0,license plate,tensor([0.5730]),-1,627,209,660,218,True,627,209,660,218,ie) aml
139.0,license plate,tensor([0.3113]),-1,438,190,460,196,True,438,190,460,196,7
