epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2637,2.89382,10.6632,1.73503,0,0,0,0,2.09427,11.0809,1.49127,0.0002,0.0002,0.0002
2,42.2464,2.29641,7.76402,1.27611,0.0003,0.0303,0.00016,8e-05,2.12707,10.6913,1.1944,0.000411684,0.000411684,0.000411684
3,62.8715,2.33626,7.7282,1.20845,0.00152,0.15152,0.001,0.00047,2.02936,9.37636,1.25255,0.000614656,0.000614656,0.000614656
4,83.3175,2.08871,5.84371,1.17369,0.00182,0.18182,0.00129,0.00062,1.79346,9.61344,1.09712,0.000808916,0.000808916,0.000808916
5,103.951,2.13524,4.78705,1.11846,0.00212,0.21212,0.00152,0.00076,1.74597,8.22276,1.02955,0.000994464,0.000994464,0.000994464
6,124.957,2.14249,5.25547,1.09245,0.00242,0.24242,0.00425,0.0029,1.67291,7.31819,1.10526,0.0011713,0.0011713,0.0011713
7,145.997,2.04542,4.65175,1.13066,0.21881,0.0303,0.012,0.00831,1.739,7.05792,1.12658,0.00133942,0.00133942,0.00133942
8,166.627,2.06739,4.36203,1.09756,0.10998,0.0303,0.0181,0.01034,1.9453,8.51617,1.11595,0.00149884,0.00149884,0.00149884
9,187.781,2.11762,3.62831,1.17199,0.10998,0.0303,0.0181,0.01034,1.9453,8.51617,1.11595,0.00164954,0.00164954,0.00164954
10,208.796,2.17213,4.20779,1.14517,0.20043,0.12121,0.049,0.02292,2.38278,8.88117,1.20766,0.0016436,0.0016436,0.0016436
11,229.533,2.27628,4.30128,1.11634,0.43123,0.15152,0.13955,0.06281,2.46502,8.09422,1.23528,0.001604,0.001604,0.001604
12,250.566,2.10534,3.27114,1.12137,0.43123,0.15152,0.13955,0.06281,2.46502,8.09422,1.23528,0.0015644,0.0015644,0.0015644
13,271.685,2.07161,3.29085,1.06878,0.34847,0.15152,0.1356,0.05908,1.87346,6.27012,1.20987,0.0015248,0.0015248,0.0015248
14,292.661,2.00804,3.11907,1.10679,0.36278,0.15152,0.09644,0.02467,2.03516,6.82038,1.30994,0.0014852,0.0014852,0.0014852
15,314.122,2.30546,3.53466,1.13635,0.36278,0.15152,0.09644,0.02467,2.03516,6.82038,1.30994,0.0014456,0.0014456,0.0014456
16,334.975,2.06079,3.25577,1.11455,0.37639,0.21977,0.12089,0.03361,2.03993,7.47512,1.24806,0.001406,0.001406,0.001406
17,356.494,2.0563,3.15971,1.04191,0.5958,0.24242,0.23644,0.07309,2.0457,6.67863,1.1573,0.0013664,0.0013664,0.0013664
18,377.444,2.12738,3.15046,1.13916,0.49953,0.27273,0.25199,0.10557,2.34578,7.67514,1.09536,0.0013268,0.0013268,0.0013268
19,398.376,1.85423,2.95464,1.01588,0.49953,0.27273,0.25199,0.10557,2.34578,7.67514,1.09536,0.0012872,0.0012872,0.0012872
20,419.833,1.74385,2.65239,1.00431,0.88231,0.24242,0.26537,0.12116,2.64008,7.20462,1.07438,0.0012476,0.0012476,0.0012476
21,441.393,1.92103,3.42597,1.01147,0.42717,0.30303,0.25104,0.12174,2.11728,5.966,1.04241,0.001208,0.001208,0.001208
22,462.797,1.93087,2.78099,1.04335,0.42717,0.30303,0.25104,0.12174,2.11728,5.966,1.04241,0.0011684,0.0011684,0.0011684
23,483.518,2.28946,4.06542,1.04009,0.30997,0.24242,0.22955,0.11089,1.91971,5.70803,1.04789,0.0011288,0.0011288,0.0011288
24,504.747,1.92287,2.61465,0.98833,0.50271,0.24242,0.24463,0.11304,1.85051,5.08933,1.07232,0.0010892,0.0010892,0.0010892
25,526.266,1.73536,2.70361,1.01481,0.50271,0.24242,0.24463,0.11304,1.85051,5.08933,1.07232,0.0010496,0.0010496,0.0010496
26,547.211,1.82438,3.12365,0.9702,0.61688,0.29318,0.30112,0.13273,1.75156,4.92652,1.08159,0.00101,0.00101,0.00101
27,568.252,1.6816,2.28976,0.97907,0.69128,0.30303,0.28927,0.1353,1.83022,4.51364,1.10227,0.0009704,0.0009704,0.0009704
28,590.143,1.66791,2.25051,1.0408,0.69128,0.30303,0.28927,0.1353,1.83022,4.51364,1.10227,0.0009308,0.0009308,0.0009308
29,611.067,1.79108,2.73494,1.02385,0.66617,0.3024,0.28702,0.13991,1.84033,4.62025,1.12099,0.0008912,0.0008912,0.0008912
30,632.426,1.68078,2.69851,0.95406,0.89908,0.27021,0.30223,0.15256,1.9017,4.5748,1.13148,0.0008516,0.0008516,0.0008516
31,653.422,1.80853,2.58604,0.991,0.89908,0.27021,0.30223,0.15256,1.9017,4.5748,1.13148,0.000812,0.000812,0.000812
32,674.779,1.68989,2.17576,0.97372,0.98297,0.27273,0.31242,0.15437,1.89038,4.03088,1.14071,0.0007724,0.0007724,0.0007724
33,696.162,1.7514,2.45483,0.95917,0.98564,0.27273,0.30994,0.16167,1.77586,4.73334,1.12665,0.0007328,0.0007328,0.0007328
34,717.46,1.72501,2.40711,0.91143,1,0.2725,0.30899,0.15293,1.65532,4.99685,1.13788,0.0006932,0.0006932,0.0006932
35,738.535,1.90239,2.90031,0.99715,1,0.2725,0.30899,0.15293,1.65532,4.99685,1.13788,0.0006536,0.0006536,0.0006536
36,760.037,1.76286,2.33439,0.96361,0.71158,0.27273,0.30928,0.15276,1.72962,4.80007,1.13887,0.000614,0.000614,0.000614
37,781.456,1.60673,2.36205,0.93668,0.73462,0.27273,0.31889,0.15361,1.70773,4.1895,1.1099,0.0005744,0.0005744,0.0005744
38,802.609,1.79901,2.68434,0.93967,0.73462,0.27273,0.31889,0.15361,1.70773,4.1895,1.1099,0.0005348,0.0005348,0.0005348
39,823.498,1.57408,2.42693,0.98041,0.60131,0.30303,0.33034,0.16252,1.67106,3.88313,1.08004,0.0004952,0.0004952,0.0004952
40,844.182,1.60845,2.31839,0.96065,0.65809,0.36364,0.36334,0.17137,1.67409,3.72656,1.06306,0.0004556,0.0004556,0.0004556
41,865.913,1.51005,2.80732,0.90037,0.65809,0.36364,0.36334,0.17137,1.67409,3.72656,1.06306,0.000416,0.000416,0.000416
42,887.016,1.55357,2.45339,0.96971,0.63164,0.31215,0.3629,0.15774,1.6179,3.52797,1.06065,0.0003764,0.0003764,0.0003764
43,907.802,1.47,2.45319,0.90119,0.89924,0.27065,0.35092,0.16185,1.6531,3.34682,1.07457,0.0003368,0.0003368,0.0003368
44,928.915,1.45666,2.09526,0.87984,0.89924,0.27065,0.35092,0.16185,1.6531,3.34682,1.07457,0.0002972,0.0002972,0.0002972
45,950.252,1.35401,2.32909,0.90468,0.55968,0.30303,0.34561,0.16901,1.73354,3.22749,1.08641,0.0002576,0.0002576,0.0002576
46,971.075,1.96535,3.61142,0.93751,0.89905,0.27015,0.34197,0.17064,1.76799,3.34139,1.08702,0.000218,0.000218,0.000218
47,992.36,1.61057,3.00042,0.88449,0.89905,0.27015,0.34197,0.17064,1.76799,3.34139,1.08702,0.0001784,0.0001784,0.0001784
48,1013.8,1.39348,2.11234,0.88123,0.65811,0.33333,0.34323,0.17159,1.7529,3.40185,1.08254,0.0001388,0.0001388,0.0001388
49,1034.83,1.69956,3.15222,0.96968,0.57743,0.33333,0.3535,0.16767,1.68082,3.37783,1.07781,9.92e-05,9.92e-05,9.92e-05
50,1056.44,1.73995,2.86633,0.9457,0.52448,0.33333,0.35347,0.16928,1.6517,3.39613,1.07525,5.96e-05,5.96e-05,5.96e-05
